STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        403;20200901;-999;-999;-999;    3;   0.0;   6;    3.867;   0;   5.2;  11.5; 1008.17;   14.4;   72.42;   18.0;    9.8;    7.3;eor
        403;20200902;-999;-999;-999;    3;   7.0;   6;    2.567;   0;   6.8;  14.2; 1007.08;   13.7;   90.63;   17.7;   10.3;    8.1;eor
        403;20200903;-999;-999;-999;    3;   5.9;   6;    8.867;   0;   5.7;  13.0; 1009.02;   16.9;   70.58;   22.0;   12.3;   11.0;eor
        403;20200904;-999;-999;-999;    3;   0.6;   6;    3.900;   0;   6.9;  17.3; 1009.56;   17.8;   86.04;   22.4;   15.0;   14.3;eor
        403;20200905;-999;-999;-999;    3;   0.2;   6;    0.000;   0;   7.0;  15.2; 1006.73;   15.4;   86.29;   17.2;   11.7;    9.3;eor
        403;20200906;-999;-999;-999;    3;   0.0;   6;   10.533;   0;   3.6;  11.2; 1008.67;   14.5;   69.92;   19.0;   10.7;    8.2;eor
        403;20200907;-999;-999;-999;    3;   0.0;   0;    6.817;   0;   4.2;  11.8; 1013.17;   14.1;   75.38;   19.3;    9.3;    7.1;eor
        403;20200908;-999;-999;-999;    3;   0.0;   0;    4.300;   0;   5.7;  12.8; 1014.30;   16.1;   72.13;   22.4;    8.6;    6.3;eor
        403;20200909;-999;-999;-999;    3;   0.9;   6;    3.700;   0;   6.4;  16.6; 1010.02;   19.4;   75.71;   24.8;   13.9;   10.8;eor
        403;20200910;-999;-999;-999;    3;   0.0;   0;    6.600;   0;   2.8;  11.8; 1011.05;   13.8;   77.38;   18.5;    8.2;    5.7;eor
        403;20200911;-999;-999;-999;    3;   0.0;   0;   10.833;   0;   3.6;  11.5; 1008.51;   14.8;   72.63;   22.4;    7.7;    5.3;eor
        403;20200912;-999;-999;-999;    3;   0.0;   0;   11.200;   0;   2.2;  12.2; 1008.75;   17.3;   66.33;   26.5;    8.3;    5.6;eor
        403;20200913;-999;-999;-999;    3;   0.0;   0;   10.333;   0;   4.5;  13.4; 1015.61;   16.7;   73.46;   24.2;   10.4;    7.2;eor
        403;20200914;-999;-999;-999;    3;   0.0;   0;   11.217;   0;   3.3;  15.2; 1017.02;   19.3;   72.96;   29.1;   10.8;    8.0;eor
        403;20200915;-999;-999;-999;    3;   0.0;   0;   11.483;   0;   4.0;  17.0; 1011.53;   21.3;   71.67;   31.0;   14.3;   10.2;eor
        403;20200916;-999;-999;-999;    3;   0.0;   0;    9.317;   0;   2.8;  16.4; 1007.69;   21.2;   68.46;   28.8;   14.3;   11.0;eor
        403;20200917;-999;-999;-999;    3;   0.0;   0;   11.083;   0;   1.5;  10.2; 1017.77;   14.3;   63.58;   18.5;    8.0;    3.4;eor
        403;20200918;-999;-999;-999;    3;   0.0;   0;   12.017;   0;   3.9;   8.6; 1019.44;   11.7;   66.88;   20.0;    4.7;    1.0;eor
        403;20200919;-999;-999;-999;    3;   0.0;   0;   10.633;   0;   5.2;   8.7; 1013.78;   13.6;   59.63;   21.2;    5.4;    1.4;eor
        403;20200920;-999;-999;-999;    3;   0.0;   0;   11.333;   0;   2.0;  10.1; 1010.17;   15.3;   59.50;   22.2;    8.9;    4.8;eor
        403;20200921;-999;-999;-999;    3;   0.0;   0;   11.350;   0;   0.2;  11.8; 1007.89;   15.6;   68.96;   24.8;    8.4;    4.2;eor
        403;20200922;-999;-999;-999;    3;   0.0;   0;   11.083;   0;   0.4;  13.1; 1001.16;   16.8;   72.38;   26.3;    9.3;    6.0;eor
        403;20200923;-999;-999;-999;    3;   0.0;   0;    9.200;   0;   2.5;  14.0;  995.72;   18.0;   71.13;   26.9;   12.2;    9.1;eor
        403;20200924;-999;-999;-999;    3;   8.4;   6;    4.333;   0;   5.7;  12.8;  994.50;   16.4;   70.17;   22.0;   10.8;    7.7;eor
        403;20200925;-999;-999;-999;    3;   5.3;   6;    1.667;   0;   6.7;  13.5;  988.21;   12.5;   93.29;   15.5;    9.9;    8.2;eor
        403;20200926;-999;-999;-999;    3;  21.1;   6;    0.000;   0;   8.0;  11.4;  985.26;    9.8;   94.25;   11.1;    8.2;    8.3;eor
        403;20200927;-999;-999;-999;    3;   0.3;   6;    0.033;   0;   7.6;  10.5;  994.82;    9.4;   89.46;   12.5;    6.4;    6.2;eor
        403;20200928;-999;-999;-999;    3;   0.0;   6;    9.383;   0;   4.7;  10.9; 1002.08;   13.0;   75.33;   19.1;    8.0;    5.9;eor
        403;20200929;-999;-999;-999;    3;   0.0;   6;    4.783;   0;   5.7;  11.7; 1006.51;   13.1;   79.83;   18.2;    8.8;    6.8;eor
        403;20200930;-999;-999;-999;    3;   0.0;   0;   10.717;   0;   1.2;  11.4; 1006.07;   12.7;   81.38;   20.0;    7.0;    5.1;eor
        403;20201001;-999;-999;-999;    3;   0.0;   0;    6.800;   0;   4.3;  12.7;  997.62;   12.3;   89.42;   17.5;    7.4;    5.0;eor
        403;20201002;-999;-999;-999;    3;   0.0;   0;    0.183;   0;   6.1;  13.4;  991.90;   13.5;   87.33;   17.2;   10.4;    7.6;eor
        403;20201003;-999;-999;-999;    3;   0.0;   6;    8.067;   0;   6.0;  14.6;  984.95;   16.4;   79.54;   22.3;   12.7;   11.5;eor
        403;20201004;-999;-999;-999;    3;   0.0;   0;    6.083;   0;   4.3;  10.5;  989.52;   13.1;   71.92;   18.9;    6.9;    4.3;eor
        403;20201005;-999;-999;-999;    3;   0.2;   6;    0.567;   0;   5.9;  11.4;  994.35;   10.8;   88.79;   15.1;    6.8;    4.3;eor
        403;20201006;-999;-999;-999;    3;   0.8;   6;    3.167;   0;   5.5;  11.3;  993.29;   12.1;   81.00;   16.5;    7.2;    4.5;eor
        403;20201007;-999;-999;-999;    3;   1.2;   6;    2.483;   0;   5.9;  12.5;  998.50;   12.2;   88.33;   16.1;   10.1;    7.7;eor
        403;20201008;-999;-999;-999;    3;   6.7;   6;    2.800;   0;   6.3;  12.2; 1005.68;   12.0;   87.54;   14.6;    7.8;    4.7;eor
        403;20201009;-999;-999;-999;    3;   2.3;   6;    0.700;   0;   7.0;  13.2; 1007.19;   12.7;   89.58;   14.9;   10.7;    9.0;eor
        403;20201010;-999;-999;-999;    3;   0.0;   0;    3.033;   0;   5.5;  10.2; 1007.46;    9.6;   85.71;   12.9;    3.9;    1.7;eor
        403;20201011;-999;-999;-999;    3;   0.0;   6;    3.133;   0;   4.8;   8.6; 1008.07;    7.2;   85.33;   11.6;    3.5;    1.2;eor
        403;20201012;-999;-999;-999;    3;   0.0;   6;    3.517;   0;   4.9;   9.1; 1007.35;    8.0;   85.71;   11.8;    3.3;    1.2;eor
        403;20201013;-999;-999;-999;    3;   1.6;   6;    4.133;   0;   4.8;   8.9; 1005.30;    7.7;   85.25;   12.5;    1.3;   -0.6;eor
        403;20201014;-999;-999;-999;    3;  11.3;   6;    0.000;   0;   8.0;  11.3;  999.25;    9.8;   93.46;   10.3;    9.3;    8.3;eor
        403;20201015;-999;-999;-999;    3;   0.3;   6;    0.000;   0;   8.0;  11.9; 1005.82;   10.2;   95.17;   11.2;    9.5;    9.1;eor
        403;20201016;-999;-999;-999;    3;   1.4;   6;    0.933;   0;   7.0;  10.5; 1009.70;    8.9;   92.00;   10.9;    7.6;    6.0;eor
        403;20201017;-999;-999;-999;    3;   0.0;   6;    2.917;   0;   6.8;   9.5; 1008.52;    9.1;   83.54;   11.6;    6.9;    5.0;eor
        403;20201018;-999;-999;-999;    3;   2.4;   6;    0.067;   0;   5.7;   9.9; 1007.71;    7.8;   93.58;    9.1;    6.0;    4.5;eor
        403;20201019;-999;-999;-999;    3;   0.0;   6;    1.850;   0;   5.6;   9.4; 1012.07;    8.1;   87.96;   11.1;    4.1;    1.4;eor
        403;20201020;-999;-999;-999;    3;   3.1;   6;    1.417;   0;   6.8;   9.3; 1006.15;    8.0;   87.46;   12.4;    3.0;    0.4;eor
        403;20201021;-999;-999;-999;    3;   0.3;   6;    0.000;   0;   6.5;  11.4;  999.75;   11.6;   84.75;   14.3;    9.5;    7.3;eor
        403;20201022;-999;-999;-999;    3;   0.0;   6;    4.433;   0;   4.7;  12.6; 1002.14;   15.2;   73.42;   19.4;   12.2;    8.4;eor
        403;20201023;-999;-999;-999;    3;   6.2;   6;    0.867;   0;   6.8;  14.0; 1001.87;   13.0;   93.83;   16.7;    9.7;    6.8;eor
        403;20201024;-999;-999;-999;    3;   0.0;   0;    4.833;   0;   5.8;  12.5; 1003.21;   12.8;   85.71;   17.2;    9.9;    6.7;eor
        403;20201025;-999;-999;-999;    3;   0.0;   0;    7.033;   0;   4.9;  11.1;  998.54;   12.2;   79.58;   17.4;    9.3;    6.2;eor
        403;20201026;-999;-999;-999;    3;   1.1;   6;    0.667;   0;   7.7;  11.9;  994.46;   10.6;   93.08;   12.8;    8.7;    6.3;eor
        403;20201027;-999;-999;-999;    3;   0.1;   6;    1.517;   0;   6.5;   9.2;  998.85;    9.6;   77.29;   13.4;    7.0;    4.4;eor
        403;20201028;-999;-999;-999;    3;   2.9;   6;    2.017;   0;   5.8;   9.9;  999.89;   10.3;   79.13;   13.4;    8.4;    4.8;eor
        403;20201029;-999;-999;-999;    3;   1.9;   6;    2.633;   0;   6.5;   9.6; 1002.78;    9.9;   78.54;   11.6;    7.4;    5.5;eor
        403;20201030;-999;-999;-999;    3;  15.7;   6;    0.000;   0;   8.0;  12.9; 1006.33;   11.1;   96.38;   13.4;    7.3;    6.6;eor
        403;20201031;-999;-999;-999;    3;   1.4;   6;    0.000;   0;   7.9;  15.1; 1010.77;   13.6;   97.17;   14.7;   11.9;   10.1;eor
        403;20201101;-999;-999;-999;    3;   6.2;   6;    0.333;   0;   7.3;  13.4; 1004.40;   12.4;   92.79;   14.7;   10.1;    8.7;eor
        403;20201102;-999;-999;-999;    3;   7.8;   6;    2.767;   0;   7.0;  15.6; 1000.75;   16.5;   83.88;   20.5;   13.9;   12.9;eor
        403;20201103;-999;-999;-999;    3;   0.0;   0;    6.633;   0;   5.5;  10.1; 1011.21;   11.7;   73.50;   14.5;    9.0;    6.3;eor
        403;20201104;-999;-999;-999;    3;   0.0;   0;    7.417;   0;   2.7;   8.3; 1019.79;    8.6;   74.75;   11.7;    4.1;    0.8;eor
        403;20201105;-999;-999;-999;    3;   0.0;   6;    7.567;   0;   3.2;   8.4; 1025.87;    7.2;   84.17;   11.0;    2.6;   -0.3;eor
        403;20201106;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   8.0;  10.4; 1023.87;    8.8;   91.46;    9.6;    8.3;    7.8;eor
        403;20201107;-999;-999;-999;    3;   0.0;   6;    6.367;   0;   3.4;   8.8; 1018.15;    7.3;   87.88;   13.0;    1.8;   -1.1;eor
        403;20201108;-999;-999;-999;    3;   0.0;   6;    7.800;   0;   2.5;   7.8; 1015.70;    4.9;   91.42;   11.3;    1.4;   -1.0;eor
        403;20201109;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   8.0;   8.8; 1017.97;    5.7;   96.29;    6.3;    5.1;    5.2;eor
        403;20201110;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   8.0;   8.3; 1019.46;    5.3;   93.04;    6.0;    4.3;    4.5;eor
        403;20201111;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   7.9;   7.7; 1016.73;    6.1;   81.92;    6.8;    5.7;    5.5;eor
        403;20201112;-999;-999;-999;    3;   0.0;   6;    3.283;   0;   6.2;   8.4; 1010.91;    7.4;   82.46;   11.1;    4.0;    1.0;eor
        403;20201113;-999;-999;-999;    3;   0.2;   6;    5.083;   0;   5.2;   9.1; 1009.43;    7.2;   89.92;   12.3;    4.7;    0.9;eor
        403;20201114;-999;-999;-999;    3;   0.0;   6;    1.500;   0;   6.2;  11.7; 1008.30;   10.7;   90.79;   15.0;    8.1;    4.7;eor
        403;20201115;-999;-999;-999;    3;   0.9;   6;    4.367;   0;   5.2;   8.9; 1003.22;   10.1;   72.96;   14.4;    6.8;    4.0;eor
        403;20201116;-999;-999;-999;    3;   0.0;   6;    2.533;   0;   6.5;   9.6; 1003.30;    9.5;   81.71;   12.5;    7.0;    3.9;eor
        403;20201117;-999;-999;-999;    3;   0.5;   6;    1.517;   0;   7.0;  10.8; 1013.15;    9.8;   89.50;   11.3;    7.5;    4.7;eor
        403;20201118;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   5.8;  10.0; 1013.49;   10.8;   77.63;   12.3;    7.6;    4.2;eor
        403;20201119;-999;-999;-999;    3;   0.5;   6;    0.600;   0;   4.9;   8.1; 1006.63;    9.0;   70.42;   11.8;    4.1;    2.3;eor
        403;20201120;-999;-999;-999;    3;   0.0;   8;    4.967;   0;   1.4;   6.5; 1020.22;    3.0;   86.54;    6.1;   -1.3;   -4.0;eor
        403;20201121;-999;-999;-999;    3;   0.0;   6;    1.417;   0;   6.7;   5.9; 1019.97;    3.4;   77.46;    6.5;   -0.9;   -3.5;eor
        403;20201122;-999;-999;-999;    3;   0.0;   6;    0.417;   0;   6.9;   8.2; 1012.69;    7.9;   76.17;   10.4;    6.0;    2.5;eor
        403;20201123;-999;-999;-999;    3;   0.0;   6;    5.500;   0;   3.3;   8.0; 1015.23;    6.2;   84.25;    8.6;    2.1;   -2.0;eor
        403;20201124;-999;-999;-999;    3;   0.0;   0;    6.550;   0;   3.3;   6.7; 1015.27;    2.5;   91.96;    7.6;   -0.4;   -3.5;eor
        403;20201125;-999;-999;-999;    3;   0.0;   0;    0.000;   0;   5.1;   6.4; 1010.22;    0.7;   99.33;    2.6;   -1.0;   -3.6;eor
        403;20201126;-999;-999;-999;    3;   0.8;   6;    0.000;   0;   6.5;   8.0; 1010.37;    3.8;   98.13;    7.3;   -0.6;   -3.7;eor
        403;20201127;-999;-999;-999;    3;   0.2;   6;    1.250;   0;   7.2;   8.8; 1012.28;    6.0;   93.58;    8.2;    4.2;    3.2;eor
        403;20201128;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   6.8;   6.2; 1015.17;    3.7;   78.13;    5.2;   -0.1;   -3.4;eor
        403;20201129;-999;-999;-999;    3;   0.2;   8;    0.050;   0;   5.2;   6.2; 1016.31;    1.4;   92.58;    4.6;   -2.2;   -4.8;eor
        403;20201130;-999;-999;-999;    3;   0.0;   7;    0.000;   0;   7.1;   5.7; 1013.16;    1.2;   85.88;    2.3;   -2.2;   -4.9;eor
        403;20201201;-999;-999;-999;    3;   0.0;   0;    0.000;   0;   6.5;   5.7; 1007.61;    2.2;   80.46;    4.0;   -1.7;   -4.6;eor
        403;20201202;-999;-999;-999;    3;   0.0;   0;    0.533;   0;   3.3;   5.3; 1009.61;   -1.2;   93.88;    2.0;   -3.1;   -6.0;eor
        403;20201203;-999;-999;-999;    3;   0.0;   7;    0.000;   0;   7.1;   4.7;  996.85;   -0.9;   82.63;    0.9;   -3.0;   -4.3;eor
        403;20201204;-999;-999;-999;    3;   0.0;   0;    0.417;   0;   5.1;   5.5;  986.37;    0.7;   85.63;    4.0;   -2.0;   -5.0;eor
        403;20201205;-999;-999;-999;    3;   0.0;   0;    1.650;   0;   6.2;   6.2;  990.83;    3.3;   80.54;    7.9;    0.1;   -3.5;eor
        403;20201206;-999;-999;-999;    3;   0.0;   6;    3.200;   0;   5.7;   8.4;  991.71;    7.1;   83.29;   11.0;    3.7;   -0.7;eor
        403;20201207;-999;-999;-999;    3;   0.0;   6;    0.617;   0;   6.5;   7.5;  992.32;    5.5;   83.83;    8.0;    1.0;   -2.8;eor
        403;20201208;-999;-999;-999;    3;   0.9;   6;    6.167;   0;   5.3;   7.2;  997.65;    4.0;   88.38;    7.2;    1.4;   -1.5;eor
        403;20201209;-999;-999;-999;    3;   0.2;   6;    0.000;   0;   8.0;   6.6; 1001.11;    1.7;   95.29;    2.6;    0.6;    0.7;eor
        403;20201210;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   8.0;   5.8;  999.81;   -0.5;   98.04;    0.6;   -1.2;   -0.8;eor
        403;20201211;-999;-999;-999;    3;   0.0;   0;    0.000;   0;   8.0;   5.8;  994.09;   -0.2;   96.17;    1.3;   -1.2;   -0.9;eor
        403;20201212;-999;-999;-999;    3;   0.0;   6;    0.267;   0;   5.8;   6.3;  992.41;    0.8;   96.71;    2.0;   -0.8;   -3.4;eor
        403;20201213;-999;-999;-999;    3;   0.0;   6;    0.000;   0;   8.0;   7.4; 1001.22;    3.0;   97.63;    4.1;    1.9;    1.6;eor
        403;20201214;-999;-999;-999;    3;   0.0;   6;    1.717;   0;   7.2;   8.0; 1003.91;    5.3;   90.21;    7.4;    3.0;    2.1;eor
        403;20201215;-999;-999;-999;    3;   0.3;   6;    0.000;   0;   6.9;   7.3; 1003.20;    5.7;   80.25;    7.4;    3.1;   -0.2;eor
        403;20201216;-999;-999;-999;    3;   0.0;   6;    0.100;   0;   6.5;   9.7; 1010.24;    7.7;   92.29;    9.6;    4.6;    1.8;eor
        403;20201217;-999;-999;-999;    3;   1.1;   6;    3.300;   0;   5.7;   7.8; 1010.82;    5.3;   87.54;    7.9;    2.2;   -0.2;eor
        403;20201218;-999;-999;-999;    3;   0.0;   0;    6.267;   0;   3.6;   7.8; 1014.17;    4.8;   90.92;    9.1;    0.9;   -2.9;eor
        403;20201219;-999;-999;-999;    3;   0.0;   0;    7.250;   0;   1.3;   6.6; 1010.83;    2.7;   89.33;    7.6;   -0.9;   -4.3;eor
        403;20201220;-999;-999;-999;    3;   1.1;   6;    3.800;   0;   6.9;   6.5; 1011.12;    3.2;   85.25;    5.3;    0.6;   -1.7;eor
        403;20201221;-999;-999;-999;    3;   5.4;   6;    5.550;   0;   5.5;   7.7; 1010.95;    4.3;   93.58;    6.7;    2.8;   -0.8;eor
        403;20201222;-999;-999;-999;    3;   3.2;   6;    0.833;   0;   7.3;  10.4; 1000.60;    9.2;   88.50;   13.4;    4.8;    3.5;eor
        403;20201223;-999;-999;-999;    3;   4.7;   6;    0.000;   0;   7.8;   9.2; 1002.00;    7.1;   90.38;    9.9;    6.1;    5.3;eor
        403;20201224;-999;-999;-999;    3;   1.4;   6;    0.550;   0;   6.8;   8.8;  995.45;    6.5;   90.38;   10.3;    3.0;    2.8;eor
        403;20201225;-999;-999;-999;    3;   0.2;   8;    0.017;   0;   7.6;   6.3; 1007.68;    2.5;   85.58;    3.9;    0.9;   -0.2;eor
        403;20201226;-999;-999;-999;    3;   0.2;   8;    0.000;   0;   6.6;   5.7; 1009.28;    0.8;   87.17;    2.1;   -0.9;   -2.8;eor
        403;20201227;-999;-999;-999;    3;   0.0;   0;    0.050;   0;   7.5;   4.1;  988.89;    1.5;   60.29;    2.4;    0.8;   -0.8;eor
        403;20201228;-999;-999;-999;    3;   2.6;   8;    1.267;   0;   7.5;   5.6;  974.82;    2.4;   77.21;    4.2;    0.9;   -1.7;eor
        403;20201229;-999;-999;-999;    3;   0.0;   6;    2.033;   0;   6.2;   6.5;  979.02;    1.9;   93.29;    3.8;   -0.8;   -3.1;eor
        403;20201230;-999;-999;-999;    3;   0.0;   6;    6.100;   0;   3.1;   6.1;  991.68;    2.1;   86.08;    5.4;   -1.2;   -4.7;eor
        403;20201231;-999;-999;-999;    3;   0.0;   6;    3.183;   0;   7.0;   6.0;  995.94;    2.4;   82.46;    4.5;    0.3;   -2.4;eor
        403;20210101;-999;-999;-999;    3;   0.5;   8;    0.000;   0;   7.3;   6.4;  997.88;    1.9;   90.71;    2.7;    0.8;   -1.0;eor
        403;20210102;-999;-999;-999;    3;   0.0;   8;    0.417;   0;   6.3;   6.0; 1004.68;    0.9;   91.21;    3.4;   -1.0;   -3.3;eor
        403;20210103;-999;-999;-999;    3;   7.5;   8;    0.000;   0;   7.8;   6.0; 1005.27;    0.7;   94.29;    1.3;   -0.6;   -1.5;eor
        403;20210104;-999;-999;-999;    3;   0.4;   8;    0.000;   4;   8.0;   6.3; 1007.04;    0.8;   97.17;    1.0;    0.5;   -0.1;eor
        403;20210105;-999;-999;-999;    3;   1.5;   8;    0.000;   2;   8.0;   6.6; 1006.36;    1.7;   95.58;    3.3;    0.8;    0.4;eor
        403;20210106;-999;-999;-999;    3;   0.6;   8;    0.000;   0;   8.0;   6.7; 1000.67;    1.8;   95.88;    3.4;    0.7;    0.6;eor
        403;20210107;-999;-999;-999;    3;   0.0;   8;    0.000;   0;   8.0;   6.0;  999.97;    1.1;   90.29;    1.6;    0.5;    0.0;eor
        403;20210108;-999;-999;-999;    3;   0.1;   8;    0.000;   0;   8.0;   6.0; 1002.17;    0.8;   92.67;    1.5;    0.3;   -0.6;eor
        403;20210109;-999;-999;-999;    3;   0.0;   8;    0.000;   0;   8.0;   6.5; 1009.76;    1.3;   96.25;    2.3;    0.4;    0.0;eor
        403;20210110;-999;-999;-999;    3;   0.1;   7;    0.733;   0;   7.0;   5.7; 1013.56;    0.6;   88.79;    1.8;   -1.3;   -2.3;eor
        403;20210111;-999;-999;-999;    3;   2.0;   8;    0.000;   0;   7.6;   5.2; 1006.76;    0.4;   83.21;    1.6;   -1.0;   -1.8;eor
        403;20210112;-999;-999;-999;    3;   2.3;   8;    0.000;   1;   7.4;   6.3;  993.85;    1.4;   93.58;    3.3;    0.3;   -1.0;eor
        403;20210113;-999;-999;-999;    3;   2.6;   8;    0.000;   0;   7.4;   5.9;  995.81;    1.6;   86.42;    3.5;    0.0;   -1.0;eor
        403;20210114;-999;-999;-999;    3;   0.0;   8;    0.250;   3;   7.7;   6.0; 1004.15;    1.2;   90.33;    2.1;   -0.4;   -1.5;eor
        403;20210115;-999;-999;-999;    3;   0.0;   7;    0.000;   0;   7.4;   4.9; 1013.22;   -0.4;   80.88;    1.4;   -2.6;   -3.9;eor
        403;20210116;-999;-999;-999;    3;   0.0;   7;    0.400;   0;   7.4;   4.0; 1012.68;   -1.7;   73.21;   -0.5;   -2.7;   -2.6;eor
        403;20210117;-999;-999;-999;    3;   0.0;   7;    0.050;   0;   6.2;   4.2; 1010.08;   -2.5;   82.33;   -0.1;   -5.0;   -7.1;eor
        403;20210118;-999;-999;-999;    3;   5.6;   8;    0.000;   0;   7.4;   5.4; 1008.72;   -1.4;   95.25;    2.7;   -5.1;   -7.3;eor
        403;20210119;-999;-999;-999;    3;   7.9;   8;    0.000;   0;   8.0;   7.0;  998.83;    2.4;   96.96;    5.2;    0.3;   -0.1;eor
        403;20210120;-999;-999;-999;    3;   0.0;   6;    0.800;   0;   6.1;   6.7;  993.17;    5.8;   73.50;    8.6;    3.2;    0.9;eor
        403;20210121;-999;-999;-999;    3;   0.9;   6;    3.183;   0;   6.8;   6.5;  987.09;    8.7;   57.63;   13.3;    5.2;    0.8;eor
        403;20210122;-999;-999;-999;    3;   0.3;   6;    0.433;   0;   5.5;   7.1;  983.49;    6.6;   73.50;   11.2;    0.4;   -3.2;eor
        403;20210123;-999;-999;-999;    3;   4.7;   8;    0.000;   0;   7.7;   6.7;  987.34;    1.6;   98.21;    2.7;   -0.1;   -2.6;eor
        403;20210124;-999;-999;-999;    3;   2.5;   8;    0.000;   0;   8.0;   6.5;  986.97;    0.9;   99.83;    1.8;   -0.2;   -1.8;eor
        403;20210125;-999;-999;-999;    3;   0.0;   8;    0.217;   0;   7.1;   6.1;  993.29;    1.1;   92.38;    2.3;    0.2;   -1.2;eor
        403;20210126;-999;-999;-999;    3;   0.0;   8;    3.767;   0;   5.9;   5.5; 1001.57;    0.9;   85.54;    2.9;   -1.9;   -4.3;eor
        403;20210127;-999;-999;-999;    3;   0.8;   8;    4.433;   0;   6.6;   5.6; 1002.68;    1.7;   82.33;    5.0;   -0.7;   -2.2;eor
        403;20210128;-999;-999;-999;    3;   0.1;   6;    0.050;   0;   7.6;   5.9;  994.40;    1.5;   85.58;    3.8;   -2.1;   -4.4;eor
        403;20210129;-999;-999;-999;    3;   3.7;   8;    0.033;   0;   7.5;   4.7;  989.16;   -1.2;   85.25;    0.9;   -2.7;   -4.2;eor
        403;20210130;-999;-999;-999;    3;   0.2;   7;    0.317;   9;   7.0;   5.1;  992.40;   -1.2;   91.83;    0.9;   -5.5;  -13.6;eor
        403;20210131;-999;-999;-999;    3;   0.0;   7;    7.917;   7;   1.5;   3.7;  995.81;   -5.2;   90.63;    0.1;   -8.4;  -14.9;eor
        403;20210201;-999;-999;-999;    3;   0.0;   7;    3.750;   6;   6.5;   3.4;  990.02;   -3.4;   74.33;    1.1;   -8.6;  -14.4;eor
        403;20210202;-999;-999;-999;    3;   1.7;   8;    0.083;   5;   7.8;   6.0;  992.16;    0.8;   92.17;    2.6;   -1.1;   -1.4;eor
        403;20210203;-999;-999;-999;    3;  10.9;   8;    0.667;   2;   7.8;   8.6;  988.56;    4.8;   98.58;    8.9;    1.3;    0.5;eor
        403;20210204;-999;-999;-999;    3;   0.3;   8;    0.000;   0;   8.0;   6.2; 1001.79;    0.9;   95.54;    2.7;    0.2;   -0.1;eor
        403;20210205;-999;-999;-999;    3;   1.7;   8;    0.000;   0;   8.0;   5.4; 1008.73;   -0.2;   89.17;    1.2;   -1.3;   -1.4;eor
        403;20210206;-999;-999;-999;    3;   0.1;   7;    0.000;   4;   8.0;   4.0; 1008.60;   -1.8;   74.04;   -0.1;   -4.4;   -4.7;eor
        403;20210207;-999;-999;-999;    3;   2.0;   7;    0.000;   3;   8.0;   2.8; 1001.20;   -6.0;   71.96;   -4.3;   -7.6;   -7.1;eor
        403;20210208;-999;-999;-999;    3;   4.1;   7;    0.000;   8;   7.8;   2.4;  994.43;   -9.0;   78.58;   -6.4;  -11.1;  -17.3;eor
        403;20210209;-999;-999;-999;    3;   0.0;   7;    0.000;  12;   8.0;   2.8;  996.39;   -8.5;   85.46;   -7.2;  -10.6;  -13.5;eor
        403;20210210;-999;-999;-999;    3;   0.1;   7;    5.150;  16;   5.3;   2.9; 1001.71;   -7.7;   84.58;   -4.2;  -12.2;  -22.0;eor
        403;20210211;-999;-999;-999;    3;   0.0;   7;    0.500;  13;   6.2;   3.8; 1016.03;   -4.5;   87.29;   -2.3;   -7.9;  -15.5;eor
        403;20210212;-999;-999;-999;    3;   0.0;   0;    9.000;  12;   3.0;   3.4; 1025.01;   -4.8;   79.04;   -1.0;   -8.6;  -16.1;eor
        403;20210213;-999;-999;-999;    3;   0.0;   7;    6.417;  11;   1.3;   3.3; 1030.08;   -6.2;   85.29;   -0.6;  -11.3;  -15.7;eor
        403;20210214;-999;-999;-999;    3;   0.0;   0;    5.817;  11;   4.7;   3.6; 1031.16;   -5.8;   91.08;   -0.6;  -10.1;  -18.0;eor
        403;20210215;-999;-999;-999;    3;   3.8;   8;    3.867;  11;   5.7;   3.2; 1021.74;   -5.0;   77.42;    1.0;  -12.2;  -19.7;eor
        403;20210216;-999;-999;-999;    3;   2.2;   6;    0.000;  15;   7.8;   6.7; 1007.93;    1.3;   98.88;    4.0;   -2.2;   -1.7;eor
        403;20210217;-999;-999;-999;    3;   0.5;   6;    0.350;  11;   7.5;   7.9; 1004.60;    4.7;   92.58;    7.1;    1.5;   -0.4;eor
        403;20210218;-999;-999;-999;    3;   3.1;   6;    5.417;   3;   7.0;   7.5; 1006.95;    6.6;   77.78;   10.6;    3.1;    1.2;eor
        403;20210219;-999;-999;-999;    3;   0.0;   6;    7.883;   0;   4.9;   7.2; 1006.87;    5.4;   81.29;    9.7;   -0.4;   -3.1;eor
        403;20210220;-999;-999;-999;    3;   0.0;   0;    7.617;   0;   6.8;   7.1; 1009.60;    5.4;   80.33;   13.4;   -1.0;   -3.2;eor
        403;20210221;-999;-999;-999;    3;   0.0;   0;    9.600;   0;   2.9;   7.4; 1008.89;    8.1;   71.21;   16.9;    1.7;   -2.2;eor
